iter	RMSE
0	0.01156219327
1	0.0112101651
2	0.01088435671
3	0.01057590448
4	0.0102915859
5	0.01002486427
6	0.009781489472
7	0.00955152294
8	0.009339070844
9	0.009145152468
10	0.008961472022
11	0.00879310847
12	0.008635032605
13	0.008491243859
14	0.008357163772
15	0.008233090813
16	0.008114266779
17	0.008007800394
18	0.007903255785
19	0.007811083698
20	0.007722420659
21	0.007637136859
22	0.007561137142
23	0.007486928286
24	0.0074241796
25	0.007366905654
26	0.007306331959
27	0.007257490212
28	0.007210172674
29	0.00716227734
30	0.007116574261
31	0.007073542791
32	0.007039071509
33	0.007005707277
34	0.00696969631
35	0.006940343019
36	0.006912674001
37	0.006887818886
38	0.006856486036
39	0.006829147264
40	0.006806830669
41	0.006782456887
42	0.006759829704
43	0.006736961316
44	0.006722091549
45	0.006704776714
46	0.006688850685
47	0.006663053486
48	0.006648314831
49	0.006633973575
50	0.006608324443
51	0.00659537239
52	0.006573433208
53	0.00655672746
54	0.006545307304
55	0.006527535582
56	0.006505448986
57	0.00649591086
58	0.006470987568
59	0.006459779397
60	0.006450556553
61	0.006443105474
62	0.006425763427
63	0.006409955721
64	0.006401777072
65	0.006394567419
66	0.006383851684
67	0.006373262025
68	0.006366673535
69	0.006357122169
70	0.006346077382
71	0.006340448588
72	0.006332932361
73	0.006320399889
74	0.006310677481
75	0.006301630681
76	0.00629404344
77	0.006278076864
78	0.006272875663
79	0.006267774864
80	0.006259941299
81	0.006248313159
82	0.006241595668
83	0.006229757915
84	0.006223653421
85	0.006215644931
86	0.00620878999
87	0.006203295628
88	0.006194040389
89	0.006186406297
90	0.006182944609
91	0.006179729106
92	0.006168765415
93	0.006164570394
94	0.006159152292
95	0.006154322327
96	0.006148169107
97	0.006138540514
98	0.006135544603
99	0.006132851247
100	0.006126842774
101	0.006118150828
102	0.006110748222
103	0.006108008554
104	0.006103384166
105	0.006097448506
106	0.006091995035
107	0.006089865656
108	0.006085173347
109	0.006081110892
110	0.006076609157
111	0.006072092967
112	0.006066260227
113	0.006061226332
114	0.006057908863
115	0.006054334282
116	0.006045434704
117	0.006039478099
118	0.006036717265
119	0.006033700054
120	0.006029257493
121	0.00602705182
122	0.006023879564
123	0.006018373718
124	0.006015397394
125	0.006013641058
126	0.006009996723
127	0.006006019341
128	0.006000020087
129	0.005993033853
130	0.005989646938
131	0.005985327124
132	0.005979021565
133	0.005975168539
134	0.005971236369
135	0.005966720092
136	0.00596460445
137	0.005961357874
138	0.005958791301
139	0.005955930409
140	0.005951849841
141	0.005948269027
142	0.005943610669
143	0.005938186204
144	0.005935090455
145	0.005931243455
146	0.005927389361
147	0.005922690823
148	0.005917317501
149	0.005912904385
150	0.005910519657
151	0.005905959995
152	0.005903049351
153	0.005899844155
154	0.005897055837
155	0.005893390686
156	0.005891075795
157	0.005888641731
158	0.005884043437
159	0.005882660669
160	0.005879516362
161	0.005875442845
162	0.005873101728
163	0.005871214942
164	0.005868855732
165	0.005866676633
166	0.005864748526
167	0.005862785167
168	0.005858867115
169	0.005854737287
170	0.005852335956
171	0.00584983327
172	0.005846138626
173	0.005844823625
174	0.005842186771
175	0.005838611283
176	0.005836248977
177	0.005833946968
178	0.005831048706
179	0.005829038064
180	0.005826142876
181	0.00582441236
182	0.005821351303
183	0.005819479148
184	0.005817652364
185	0.005815826642
186	0.005812316143
187	0.005810873195
188	0.005807219969
189	0.005806134543
190	0.005801773786
191	0.005797692331
192	0.005796816067
193	0.00579331594
194	0.005792564897
195	0.005790778383
196	0.005789433621
197	0.005787197038
198	0.005784015335
199	0.005779613201
200	0.005776515787
201	0.005775216207
202	0.005773724401
203	0.005771769057
204	0.00577055186
205	0.005768851851
206	0.005765689968
207	0.005765173341
208	0.005763001568
209	0.005759624471
210	0.005757507384
211	0.00575603839
212	0.005755497624
213	0.005753705428
214	0.005751871292
215	0.005750299505
216	0.005749170852
217	0.005748544666
218	0.005747552232
219	0.005745370751
220	0.005743344465
221	0.005742151624
222	0.005741194658
223	0.005738351351
224	0.005737594331
225	0.005734002876
226	0.005730943235
227	0.005729314817
228	0.005726400658
229	0.005725758561
230	0.005724566314
231	0.005723473252
232	0.005721425348
233	0.005719558379
234	0.00571888295
235	0.005718324078
236	0.005716927169
237	0.005714688118
238	0.005712053377
239	0.005708881873
240	0.005708427907
241	0.005705704268
242	0.005704330839
243	0.005702784448
244	0.0057021551
245	0.005699838899
246	0.005695761972
247	0.005693137354
248	0.00569047257
249	0.005688674688
250	0.005686827275
251	0.005684960253
252	0.005683781023
253	0.005682806525
254	0.005681726488
255	0.005678877343
256	0.005676808023
257	0.005674720076
258	0.005673112899
